"Time","Interest","Cliche","Dumb","WTF","Funny"
"978","48","1","1","1","1"
"980","48","1","1","1","1"
"982","48","1","1","1","1"
"984","48","1","1","1","1"
"986","48","1","1","1","1"
"988","48","1","1","1","1"
"990","48","1","1","1","1"
"992","48","1","1","1","1"
"994","48","1","1","1","1"
"996","48","1","1","1","1"
"998","48","1","1","1","1"
"1000","48","1","1","1","1"
"1002","48","1","1","1","1"
"1004","48","1","1","1","1"
"1006","48","1","1","1","1"
"1008","48","1","1","1","1"
"1010","48","1","1","1","1"
"1012","48","1","1","1","1"
"1014","48","1","1","1","1"
"1016","48","1","1","1","1"
"1018","48","1","1","1","1"
"1020","48","1","1","1","1"
"1022","48","1","1","1","1"
"1024","48","1","1","1","1"
"1026","48","1","1","1","1"
"1028","48","1","1","1","1"
"1030","48","1","1","1","1"
"1032","48","1","1","1","1"
"1034","48","1","1","1","1"
"1036","48","1","1","1","1"
"1038","48","1","1","1","1"
"1040","48","1","1","1","1"
"1042","48","1","1","1","1"
"1044","48","1","1","1","1"
"1046","48","1","1","1","1"
"1048","48","1","1","1","1"
"1050","48","1","1","1","1"
"1052","48","1","1","1","1"
"1054","48","1","1","1","1"
"1056","48","1","1","1","1"
"1058","48","1","1","1","1"
"1060","48","1","1","1","1"
"1062","48","1","1","1","1"
"1064","48","1","1","1","1"
"1066","48","1","1","1","1"
"1068","48","1","1","1","1"
"1070","48","1","1","1","1"
"1072","48","1","1","1","1"
"1074","48","1","1","1","1"
"1076","48","1","1","1","1"
"1078","48","1","1","1","1"
"1080","48","1","1","1","1"
"1082","48","1","1","1","1"
"1084","48","1","1","1","1"
"1086","48","1","1","1","1"
"1088","48","1","1","1","1"
"1090","48","1","1","1","1"
"1092","48","1","1","1","1"
"1094","48","1","1","1","1"
"1096","48","1","1","1","1"
"1098","48","1","1","1","1"
"1100","48","1","1","1","1"
"1102","48","1","1","1","1"
"1104","48","1","1","1","1"
"1106","48","1","1","1","1"
"1108","48","1","1","1","1"
"1110","54","1","1","1","1"
"1112","54","1","1","1","1"
"1114","54","1","1","1","1"
"1116","54","1","1","1","1"
"1118","54","1","1","1","1"
"1120","54","1","1","1","1"
"1122","54","1","1","1","1"
"1124","54","1","1","1","1"
"1126","54","1","1","1","1"
"1128","54","1","1","1","1"
"1130","54","1","1","1","1"
"1132","54","1","1","1","1"
"1134","54","1","1","1","1"
"1136","54","1","1","1","1"
"1138","54","1","1","1","1"
"1140","54","1","1","1","1"
"1142","54","1","1","1","1"
"1144","54","1","1","1","1"
"1146","54","1","1","1","1"
"1148","54","1","1","1","1"
"1150","54","1","1","1","1"
"1152","54","1","1","1","1"
"1154","54","1","1","1","1"
"1156","54","1","1","1","1"
"1158","54","1","1","1","1"
"1160","54","1","1","1","1"
"1162","54","1","1","1","1"
"1164","54","1","1","1","1"
"1166","54","1","1","1","1"
"1168","54","1","1","1","1"
"1170","54","1","1","1","1"
"1172","54","1","1","1","1"
"1174","54","1","1","1","1"
"1176","54","1","1","1","1"
"1178","46","1","1","1","1"
"1180","46","1","1","1","1"
"1182","36","1","1","1","1"
"1184","36","1","1","1","1"
"1186","36","1","1","1","1"
"1188","36","1","1","1","1"
"1190","36","1","1","1","1"
"1192","36","1","1","1","1"
"1194","36","1","1","1","1"
"1196","36","1","1","1","1"
"1198","36","1","1","1","1"
"1200","36","1","1","1","1"
"1202","36","1","1","1","1"
"1204","36","1","1","1","1"
"1206","36","1","1","1","1"
"1208","36","1","1","1","1"
"1210","36","1","1","1","1"
"1212","36","1","1","1","1"
"1214","36","1","1","1","1"
"1216","36","1","1","1","1"
"1218","36","1","1","1","1"
"1220","36","1","1","1","1"
"1222","36","1","1","1","1"
"1224","36","1","1","1","1"
"1226","36","1","1","1","1"
"1228","36","1","1","1","1"
"1230","36","1","1","1","1"
"1232","36","1","1","1","1"
"1234","36","1","1","1","1"
"1236","36","1","1","1","1"
"1238","36","1","1","1","1"
"1240","36","1","1","1","1"
"1242","36","1","1","1","1"
"1244","36","1","1","1","1"
"1246","36","1","1","1","1"
"1248","36","1","1","1","1"
"1250","36","1","1","1","1"
"1252","36","1","1","1","1"
"1254","36","1","1","1","1"
"1256","46","1","1","1","1"
"1258","46","1","1","1","1"
"1260","46","1","1","1","1"
"1262","46","1","1","1","1"
"1264","46","1","1","1","1"
"1266","46","1","1","1","1"
"1268","46","1","1","1","1"
"1270","46","1","1","1","1"
"1272","46","1","1","1","1"
"1274","46","1","1","1","1"
"1276","46","1","1","1","1"
"1278","46","1","1","1","1"
"1280","46","1","1","1","1"
"1282","46","1","1","1","1"
"1284","46","1","1","1","1"
"1286","46","1","1","1","1"
"1288","46","1","1","1","1"
"1290","46","1","1","1","1"
"1292","46","1","1","1","1"
"1294","46","1","1","1","1"
"1296","46","1","1","1","1"
"1298","46","1","1","1","1"
"1300","46","1","1","1","1"
"1302","46","1","1","1","1"
"1304","46","1","1","1","1"
"1306","46","1","1","1","1"
"1308","46","1","1","1","1"
"1310","46","1","1","1","1"
"1312","46","1","1","1","1"
"1314","46","1","1","1","1"
"1316","46","1","1","1","1"
"1318","46","1","1","1","1"
"1320","46","1","1","1","1"
"1322","46","1","1","1","1"
"1324","46","1","1","1","1"
"1326","46","1","1","1","1"
"1328","46","1","1","1","1"
"1330","46","1","1","1","1"
"1332","46","1","1","1","1"
"1334","46","1","1","1","1"
"1336","46","1","1","1","1"
"1338","46","1","1","1","1"
"1340","46","1","1","1","1"
"1342","48","1","1","1","1"
"1344","48","1","1","1","1"
"1346","48","1","1","1","1"
"1348","48","1","1","1","1"
"1350","48","1","1","1","1"
"1352","48","1","1","1","1"
"1354","48","1","1","1","1"
"1356","48","1","1","1","1"
"1358","48","1","1","1","1"
"1360","48","1","1","1","1"
"1362","48","1","1","1","1"
"1364","48","1","1","1","1"
"1366","48","1","1","1","1"
"1368","48","1","1","1","1"
"1370","56","1","1","1","1"
"1372","56","1","1","1","1"
"1374","56","1","1","1","1"
"1376","56","1","1","1","1"
"1378","56","1","1","1","1"
"1380","56","1","1","1","1"
"1382","56","1","1","1","1"
"1384","56","1","1","1","1"
"1386","56","1","1","1","1"
"1388","56","1","1","1","1"
"1390","56","1","1","1","1"
"1392","56","1","1","1","1"
"1394","56","1","1","1","1"
"1396","56","1","1","1","1"
"1398","56","1","1","1","1"
"1400","56","1","1","1","1"
"1402","56","1","1","1","1"
"1404","56","1","1","1","1"
"1406","56","1","1","1","1"
"1408","56","1","1","1","1"
"1410","56","1","1","1","1"
"1412","56","1","1","1","1"
"1414","56","1","1","1","1"
"1416","56","1","1","1","1"
"1418","56","1","1","1","1"
"1420","56","1","1","1","1"
"1422","56","1","1","1","1"
"1424","56","1","1","1","1"
"1426","56","1","1","1","1"
"1428","56","1","1","1","1"
"1430","56","1","1","1","1"
"1432","56","1","1","1","1"
"1434","56","1","1","1","1"
"1436","56","1","1","1","1"
"1438","56","1","1","1","1"
"1440","56","1","1","1","1"
"1442","56","1","1","1","1"
"1444","56","1","1","1","1"
"1446","56","1","1","1","1"
"1448","56","1","1","1","1"
"1450","56","1","1","1","1"
"1452","56","1","1","1","1"
"1454","56","1","1","1","1"
"1456","56","1","1","1","1"
"1458","56","1","1","1","1"
"1460","56","1","1","1","1"
"1462","56","1","1","1","1"
"1464","56","1","1","1","1"
"1466","56","1","1","1","1"
"1468","56","1","1","1","1"
"1470","56","1","1","1","1"
"1472","56","1","1","1","1"
"1474","56","1","1","1","1"
"1476","56","1","1","1","1"
"1478","56","1","1","1","1"
"1480","56","1","1","1","1"
"1482","56","1","1","1","1"
"1484","56","1","1","1","1"
"1486","56","1","1","1","1"
"1488","58","1","1","1","1"
"1490","60","1","1","1","1"
"1492","60","1","1","1","1"
"1494","60","1","1","1","1"
"1496","60","1","1","1","1"
"1498","60","1","1","1","1"
"1500","60","1","1","1","1"
"1502","60","1","1","1","1"
"1504","60","1","1","1","1"
"1506","60","1","1","1","1"
"1508","60","1","1","1","1"
"1510","60","1","1","1","1"
"1512","60","1","1","1","1"
"1514","60","1","1","1","1"
"1516","60","1","1","1","1"
"1518","60","1","1","1","1"
"1520","60","1","1","1","1"
"1522","60","1","1","1","1"
"1524","60","1","1","1","1"
"1526","60","1","1","1","1"
"1528","60","1","1","1","1"
"1530","62","1","1","1","1"
"1532","62","1","1","1","1"
"1534","66","1","1","1","1"
"1536","66","1","1","1","1"
"1538","66","1","1","1","1"
"1540","66","1","1","1","1"
"1542","66","1","1","1","1"
"1544","66","1","1","1","1"
"1546","66","1","1","1","1"
"1548","66","1","1","1","1"
"1550","66","1","1","1","1"
"1552","66","1","1","1","1"
"1554","66","1","1","1","1"
"1556","66","1","1","1","1"
"1558","66","1","1","1","1"
"1560","66","1","1","1","1"
"1562","66","1","1","1","1"
"1564","66","1","1","1","1"
"1566","66","1","1","1","1"
"1568","66","1","1","1","1"
"1570","66","1","1","1","1"
"1572","66","1","1","1","1"
"1574","66","1","1","1","1"
"1576","66","1","1","1","1"
"1578","66","1","1","1","1"
"1580","66","1","1","1","1"
"1582","66","1","1","1","1"
"1584","66","1","1","1","1"
"1586","66","1","1","1","1"
"1588","66","1","1","1","1"
"1590","66","1","1","1","1"
"1592","66","1","1","1","1"
"1594","66","1","1","1","1"
"1596","62","1","1","1","1"
"1598","62","1","1","1","1"
"1600","62","1","1","1","1"
"1602","62","1","1","1","1"
"1604","62","1","1","1","1"
"1606","62","1","1","1","1"
"1608","62","1","1","1","1"
"1610","62","1","1","1","1"
"1612","62","1","1","1","1"
"1614","62","1","1","1","1"
"1616","62","1","1","1","1"
"1618","62","1","1","1","1"
"1620","62","1","1","1","1"
"1622","62","1","1","1","1"
"1624","62","1","1","1","1"
"1626","62","1","1","1","1"
"1628","62","1","1","1","1"
"1630","62","1","1","1","1"
"1632","62","1","1","1","1"
"1634","62","1","1","1","1"
"1636","62","1","1","1","1"
"1638","62","1","1","1","1"
"1640","62","1","1","1","1"
"1642","62","1","1","1","1"
"1644","62","1","1","1","1"
"1646","62","1","1","1","1"
"1648","62","1","1","1","1"
"1650","62","1","1","1","1"
"1652","62","1","1","1","1"
"1654","62","1","1","1","1"
"1656","62","1","1","1","1"
"1658","62","1","1","1","1"
"1660","62","1","1","1","1"
"1662","62","1","1","8","1"
"1664","62","1","1","8","1"
"1666","62","1","1","8","1"
"1668","62","1","1","8","1"
"1670","62","1","1","8","1"
"1672","62","1","1","8","1"
"1674","62","1","1","8","1"
"1676","62","1","1","8","1"
"1678","62","1","1","8","1"
"1680","62","1","1","8","1"
"1682","62","1","8","8","1"
"1684","62","1","8","8","1"
"1686","62","1","8","8","1"
"1688","62","1","8","8","1"
"1690","62","1","8","8","1"
"1692","62","1","8","8","1"
"1694","62","1","8","8","1"
"1696","62","1","18","8","1"
"1698","62","1","18","8","1"
"1700","62","1","18","8","1"
"1702","62","1","18","8","1"
"1704","62","1","18","8","1"
"1706","62","1","18","8","1"
"1708","62","1","18","8","1"
"1710","62","1","18","8","1"
"1712","62","1","18","8","1"
"1714","62","1","18","8","1"
"1716","62","1","18","8","1"
"1718","62","1","18","8","1"
"1720","62","1","18","8","1"
"1722","62","1","18","8","1"
"1724","62","1","1","8","1"
"1726","62","1","1","1","1"
"1728","62","1","1","1","1"
"1730","62","1","1","1","1"
"1732","62","1","1","1","1"
"1734","62","1","1","1","1"
"1736","62","1","1","1","1"
"1738","62","1","1","1","1"
"1740","62","1","1","1","1"
"1742","62","1","1","1","1"
"1744","62","1","1","1","1"
"1746","62","1","1","1","1"
"1748","68","1","1","1","1"
"1750","68","1","1","1","1"
"1752","68","1","1","1","1"
"1754","68","1","1","1","1"
"1756","68","1","1","1","1"
"1758","68","1","1","1","1"
"1760","68","1","1","1","1"
"1762","68","1","1","1","1"
"1764","68","1","1","1","1"
"1766","68","1","1","1","1"
"1768","68","1","1","1","1"
"1770","68","1","1","1","1"
"1772","68","1","1","1","1"
"1774","68","1","1","1","1"
"1776","68","1","1","1","1"
"1778","68","1","1","1","1"
"1780","68","1","1","1","1"
"1782","68","1","1","1","1"
"1784","68","4","1","1","1"
"1786","68","10","1","1","1"
"1788","68","10","1","1","1"
"1790","68","10","1","1","1"
"1792","68","10","1","1","1"
"1794","68","10","1","1","1"
"1796","68","10","1","1","1"
"1798","68","10","1","1","1"
"1800","68","10","1","1","1"
"1802","68","10","1","1","1"
"1804","68","10","1","1","1"
"1806","68","4","1","1","1"
"1808","68","4","1","1","1"
"1810","68","4","1","1","1"
"1812","68","2","1","1","1"
"1814","68","1","1","1","1"
"1816","56","1","1","1","1"
"1818","56","1","1","1","1"
"1820","56","1","1","1","1"
"1822","56","1","1","1","1"
"1824","56","1","1","1","1"
"1826","56","1","1","1","1"
"1828","56","1","1","1","1"
"1830","56","1","1","1","1"
"1832","56","1","1","1","1"
"1834","56","1","1","1","1"
"1836","56","1","1","1","1"
"1838","56","1","1","1","1"
"1840","56","1","1","1","1"
"1842","56","1","1","1","1"
"1844","56","1","1","1","1"
"1846","56","1","1","1","1"
"1848","56","1","1","1","1"
"1850","56","1","1","1","1"
"1852","56","1","1","1","1"
"1854","56","1","1","1","1"
"1856","56","1","1","1","1"
"1858","56","1","1","1","1"
"1860","56","1","1","1","1"
"1862","56","1","1","1","1"
"1864","56","1","1","1","1"
"1866","56","1","1","1","1"
"1868","56","1","1","1","1"
"1870","56","1","1","1","1"
"1872","56","1","1","1","1"
"1874","56","1","1","1","1"
"1876","56","1","1","1","1"
"1878","56","1","1","1","1"
"1880","56","1","1","1","1"
