"Time","Interest","Cliche","Dumb","WTF","Funny"
"612","62","1","1","1","1"
"614","62","1","1","1","1"
"616","62","1","1","1","1"
"618","62","1","1","1","1"
"620","62","1","1","1","1"
"622","62","1","1","1","1"
"624","62","1","1","1","1"
"626","62","1","1","1","1"
"628","62","1","1","1","1"
"630","62","1","1","1","1"
"632","62","1","1","1","1"
"634","62","1","1","1","1"
"636","62","1","1","1","1"
"638","62","1","1","1","1"
"640","64","1","1","1","1"
"642","64","1","1","1","1"
"644","64","1","1","1","1"
"646","64","1","1","1","1"
"648","64","1","1","1","1"
"650","64","1","1","1","1"
"652","64","1","1","1","1"
"654","64","1","1","1","1"
"656","64","1","1","1","1"
"658","64","1","1","1","1"
"660","64","1","1","1","1"
"662","64","1","1","1","1"
"664","64","1","1","1","1"
"666","64","1","1","1","1"
"668","64","1","1","1","1"
"670","64","1","1","1","1"
"672","64","1","1","1","1"
"674","64","1","1","1","1"
"676","64","1","1","1","1"
"678","64","1","1","1","1"
"680","64","1","1","1","1"
"682","64","1","1","1","1"
"684","64","1","1","1","1"
"686","64","1","1","1","1"
"688","64","1","1","1","1"
"690","64","1","1","1","1"
"692","64","1","1","1","1"
"694","64","1","1","1","1"
"696","64","1","1","1","1"
"698","64","1","1","1","1"
"700","64","1","1","1","1"
"702","64","1","1","1","1"
"704","64","1","1","1","1"
"706","64","1","1","1","1"
"708","64","1","1","1","1"
"710","64","1","1","1","1"
"712","64","1","1","1","1"
"714","64","1","1","1","1"
"716","64","1","1","1","1"
"718","64","1","1","1","1"
"720","64","1","1","1","1"
"722","64","1","1","1","1"
"724","64","1","1","1","1"
"726","64","1","1","1","1"
"728","64","1","1","1","1"
"730","64","1","1","1","1"
"732","64","1","1","1","1"
"734","64","1","1","1","1"
"736","64","1","1","1","1"
"738","64","1","1","1","1"
"740","64","1","1","1","1"
"742","60","1","1","1","1"
"744","60","1","1","1","1"
"746","60","1","1","1","1"
"748","60","1","1","1","1"
"750","60","1","1","1","1"
"752","60","1","1","1","1"
"754","60","1","1","1","1"
"756","60","1","1","1","1"
"758","60","1","1","1","1"
"760","60","1","1","1","1"
"762","60","1","1","1","1"
"764","60","1","1","1","1"
"766","60","1","1","1","1"
"768","60","1","1","1","1"
"770","60","1","1","1","1"
"772","60","1","1","1","1"
"774","60","1","1","1","1"
"776","60","1","1","1","1"
"778","60","1","1","1","1"
"780","60","1","1","1","1"
"782","60","1","1","1","1"
"784","60","1","1","1","1"
"786","60","1","1","1","1"
"788","60","1","1","1","1"
"790","60","1","1","1","1"
"792","60","1","1","1","1"
"794","60","1","1","1","1"
"796","60","1","1","1","1"
"798","60","1","1","1","1"
"800","60","1","1","1","1"
"802","60","1","1","1","1"
"804","60","1","1","1","1"
"806","60","1","1","1","1"
"808","60","1","1","1","1"
"810","60","1","1","1","1"
"812","60","1","1","1","1"
"814","60","1","1","1","1"
"816","60","1","1","1","1"
"818","60","1","1","1","1"
"820","60","1","1","1","1"
"822","60","1","1","1","1"
"824","60","1","1","1","1"
"826","60","1","1","1","1"
"828","60","1","1","1","1"
"830","60","1","1","1","1"
"832","60","1","1","1","1"
"834","60","1","1","1","1"
"836","60","1","1","1","1"
"838","60","1","1","1","1"
"840","60","1","1","1","1"
"842","60","1","1","1","1"
"844","60","1","1","1","1"
"846","60","1","1","1","1"
"848","58","1","1","1","1"
"850","58","1","1","1","1"
"852","58","1","1","1","1"
"854","58","1","1","1","1"
"856","58","1","1","1","1"
"858","58","1","1","1","1"
"860","58","1","1","1","1"
"862","58","1","1","1","1"
"864","58","1","1","1","1"
"866","58","1","1","1","1"
"868","58","1","1","1","1"
"870","58","1","1","1","1"
"872","58","1","1","1","1"
"874","58","1","1","1","1"
"876","58","1","1","1","1"
"878","58","1","1","1","1"
"880","58","1","1","1","1"
"882","58","1","1","1","1"
"884","58","1","1","1","1"
"886","58","1","1","1","1"
"888","58","1","1","1","1"
"890","58","1","1","1","1"
"892","58","1","1","1","1"
"894","58","1","1","1","1"
"896","58","1","1","1","1"
"898","58","1","1","1","1"
"900","58","1","1","1","1"
"902","58","1","1","1","1"
"904","58","1","1","1","1"
"906","58","1","1","1","1"
"908","58","1","1","1","1"
"910","58","1","1","1","1"
"912","58","1","1","1","1"
"914","58","1","1","1","1"
"916","58","1","1","1","1"
"918","58","1","1","1","1"
"920","58","1","1","1","1"
"922","58","1","1","1","1"
"924","58","1","1","1","1"
"926","58","1","1","1","1"
"928","58","1","1","1","1"
"930","58","1","1","1","1"
"932","58","1","1","1","1"
"934","58","1","1","1","1"
"936","58","1","1","1","1"
"938","58","1","1","1","1"
"940","58","1","1","1","1"
"942","58","1","1","1","1"
"944","58","1","1","1","1"
"946","58","1","1","1","1"
"948","58","1","1","1","1"
"950","58","1","1","1","1"
"952","58","1","1","1","1"
"954","58","1","1","1","1"
"956","58","1","1","1","1"
"958","58","1","1","1","1"
"960","58","1","1","1","1"
"962","58","1","1","1","1"
"964","58","1","1","1","1"
"966","58","1","1","1","1"
"968","58","1","1","1","1"
"970","58","1","1","1","1"
"972","58","1","1","1","1"
"974","58","1","1","1","1"
"976","58","1","1","1","1"
"978","58","1","1","1","1"
"980","58","1","1","1","1"
"982","58","1","1","1","1"
"984","58","1","1","1","1"
"986","58","1","1","1","1"
"988","58","1","1","1","1"
"990","58","1","1","1","1"
"992","58","1","1","1","1"
"994","58","1","1","1","1"
"996","58","1","1","1","1"
"998","58","1","1","1","1"
"1000","58","1","1","1","1"
"1002","58","1","1","1","1"
"1004","62","1","1","1","1"
"1006","62","1","1","1","1"
"1008","62","1","1","1","1"
"1010","62","1","1","1","1"
"1012","62","1","1","1","1"
"1014","62","1","1","1","1"
"1016","62","1","1","1","1"
"1018","62","1","1","1","1"
"1020","62","1","1","1","1"
"1022","62","1","1","1","1"
"1024","62","1","1","1","1"
"1026","62","1","1","1","1"
"1028","62","1","1","1","1"
"1030","62","1","1","1","1"
"1032","62","1","1","1","1"
"1034","62","1","1","1","1"
"1036","62","1","1","1","1"
"1038","62","1","1","1","1"
"1040","62","1","1","1","1"
"1042","62","1","1","1","1"
"1044","62","1","1","1","1"
"1046","62","1","1","1","1"
"1048","62","1","1","1","1"
"1050","62","1","1","1","1"
"1052","62","1","1","1","1"
"1054","62","1","1","1","1"
"1056","62","1","1","1","1"
"1058","62","1","1","1","1"
"1060","62","1","1","1","1"
"1062","62","1","1","1","1"
"1064","62","1","1","1","1"
"1066","62","1","1","1","1"
"1068","62","1","1","1","1"
"1070","62","1","1","1","1"
"1072","62","1","1","1","1"
"1074","62","1","1","1","1"
"1076","62","1","1","1","1"
"1078","62","1","1","1","1"
"1080","62","1","1","1","1"
"1082","62","1","1","1","1"
"1084","62","1","1","1","1"
"1086","62","1","1","1","1"
"1088","62","1","1","1","1"
"1090","62","1","1","1","1"
"1092","68","1","1","1","1"
"1094","68","1","1","1","1"
"1096","68","1","1","1","1"
"1098","68","1","1","1","1"
"1100","68","1","1","1","1"
"1102","68","1","1","1","1"
"1104","68","1","1","1","1"
"1106","68","1","1","1","1"
"1108","68","1","1","1","1"
"1110","68","1","1","1","1"
"1112","68","1","1","1","1"
"1114","68","1","1","1","1"
"1116","68","1","1","1","1"
"1118","68","1","1","1","1"
"1120","68","1","1","1","1"
"1122","68","1","1","1","1"
"1124","68","1","1","1","1"
"1126","68","1","1","1","1"
"1128","68","1","1","1","1"
"1130","68","1","1","1","1"
"1132","68","1","1","1","1"
"1134","68","1","1","1","1"
"1136","68","1","1","1","1"
"1138","68","1","1","1","1"
"1140","68","1","1","1","1"
"1142","68","1","1","1","1"
"1144","68","1","1","1","1"
"1146","68","1","1","1","1"
"1148","68","1","1","1","1"
"1150","68","1","1","1","1"
"1152","68","1","1","1","1"
"1154","68","1","1","1","1"
"1156","68","1","1","1","1"
"1158","68","1","1","1","1"
"1160","68","1","1","1","1"
"1162","68","1","1","1","1"
"1164","68","1","1","1","1"
"1166","68","1","1","1","1"
"1168","68","1","1","1","1"
"1170","68","1","1","1","1"
"1172","68","1","1","1","1"
"1174","68","1","1","1","1"
"1176","68","1","1","1","1"
"1178","68","1","1","1","1"
"1180","68","1","1","1","1"
"1182","68","1","1","1","1"
"1184","68","1","1","1","1"
"1186","68","1","1","1","1"
"1188","68","1","1","1","1"
"1190","68","1","1","1","1"
"1192","68","1","1","1","1"
"1194","68","1","1","1","1"
"1196","68","1","1","1","1"
"1198","68","1","1","1","1"
"1200","68","1","1","1","1"
"1202","68","1","1","1","1"
"1204","68","1","1","1","1"
"1206","68","1","1","1","1"
"1208","68","1","1","1","1"
"1210","68","1","1","1","1"
"1212","68","1","1","1","1"
"1214","68","1","1","1","1"
"1216","68","1","1","1","1"
"1218","68","1","1","1","1"
"1220","68","1","1","1","1"
"1222","68","1","1","1","1"
"1224","68","1","1","1","1"
"1226","68","1","1","1","1"
"1228","68","1","1","1","1"
"1230","68","1","1","1","1"
"1232","68","1","1","1","1"
"1234","68","1","1","1","1"
"1236","68","1","1","1","1"
"1238","68","1","1","1","1"
"1240","68","1","1","1","1"
"1242","66","1","1","1","1"
"1244","62","1","1","1","1"
"1246","62","1","1","1","1"
"1248","62","1","1","1","1"
"1250","60","1","1","1","1"
"1252","60","1","1","1","1"
"1254","60","1","1","1","1"
"1256","60","1","1","1","1"
"1258","60","1","1","1","1"
"1260","60","1","1","1","1"
"1262","60","1","1","1","1"
"1264","60","1","1","1","1"
"1266","60","1","1","1","1"
"1268","60","1","1","1","1"
"1270","60","1","1","1","1"
"1272","60","1","1","1","1"
"1274","60","1","1","1","1"
"1276","60","1","1","1","1"
"1278","60","1","1","1","1"
"1280","60","1","1","1","1"
"1282","60","1","1","1","1"
"1284","60","1","1","1","1"
"1286","60","1","1","1","1"
"1288","60","1","1","1","1"
"1290","60","1","1","1","1"
"1292","60","1","1","1","1"
"1294","60","1","1","1","1"
"1296","60","1","1","1","1"
"1298","60","1","1","1","1"
"1300","60","1","1","1","1"
"1302","60","1","1","1","1"
"1304","60","1","1","1","1"
"1306","60","1","1","1","1"
"1308","60","1","1","1","1"
"1310","60","1","1","1","1"
"1312","60","1","1","1","1"
"1314","60","1","1","1","1"
"1316","60","1","1","1","1"
"1318","60","1","1","1","1"
"1320","60","1","1","1","1"
"1322","60","1","1","1","1"
"1324","60","1","1","1","1"
"1326","60","1","1","1","1"
"1328","60","1","1","1","1"
"1330","60","1","1","1","1"
"1332","60","1","1","1","1"
"1334","60","1","1","1","1"
"1336","60","1","1","1","1"
"1338","60","1","1","1","1"
"1340","60","1","1","1","1"
"1342","60","1","1","1","1"
"1344","60","1","1","1","1"
"1346","60","1","1","1","1"
"1348","60","1","1","1","1"
"1350","60","1","1","1","1"
"1352","60","1","1","1","1"
"1354","60","1","1","1","1"
"1356","60","1","1","1","1"
"1358","60","1","1","1","1"
"1360","60","1","1","1","1"
"1362","60","1","1","1","1"
"1364","60","1","1","1","1"
"1366","60","1","1","1","1"
"1368","60","1","1","1","1"
"1370","60","1","1","1","1"
"1372","60","1","1","1","1"
"1374","60","1","1","1","1"
"1376","60","1","1","1","1"
"1378","60","1","1","1","1"
"1380","60","1","1","1","1"
"1382","60","1","1","1","1"
"1384","60","1","1","1","1"
"1386","60","1","1","1","1"
"1388","60","1","1","1","1"
"1390","60","1","1","1","1"
"1392","60","1","1","1","1"
"1394","60","1","1","1","1"
"1396","60","1","1","1","1"
"1398","60","1","1","1","1"
"1400","60","1","1","1","1"
"1402","60","1","1","1","1"
"1404","60","1","1","1","1"
"1406","60","1","1","1","1"
"1408","60","1","1","1","1"
"1410","60","1","1","1","1"
"1412","60","1","1","1","1"
"1414","60","1","1","1","1"
"1416","60","1","1","1","1"
"1418","60","1","1","1","1"
"1420","60","1","1","1","1"
"1422","60","1","1","1","1"
"1424","60","1","1","1","1"
"1426","60","1","1","1","1"
"1428","60","1","1","1","1"
"1430","60","1","1","1","1"
"1432","60","1","1","1","1"
"1434","60","1","1","1","1"
"1436","60","1","1","1","1"
"1438","60","1","1","1","1"
"1440","60","1","1","1","1"
"1442","60","1","1","1","1"
"1444","60","1","1","1","1"
"1446","60","1","1","1","1"
"1448","60","1","1","1","1"
"1450","60","1","1","1","1"
"1452","60","1","1","1","1"
"1454","60","1","1","1","1"
"1456","60","1","1","1","1"
"1458","60","1","1","1","1"
"1460","60","1","1","1","1"
"1462","60","1","1","1","1"
"1464","60","1","1","1","1"
"1466","60","1","1","1","1"
"1468","60","1","1","1","1"
"1470","60","1","1","1","1"
"1472","60","1","1","1","1"
"1474","60","1","1","1","1"
"1476","60","1","1","1","1"
"1478","60","1","1","1","1"
"1480","60","1","1","1","1"
"1482","60","1","1","1","1"
"1484","60","1","1","1","1"
"1486","60","1","1","1","1"
"1488","60","1","1","1","1"
"1490","60","1","1","1","1"
"1492","60","1","1","1","1"
"1494","60","1","1","1","1"
"1496","60","1","1","1","1"
"1498","60","1","1","1","1"
"1500","60","1","1","1","1"
"1502","60","1","1","1","1"
"1504","60","1","1","1","1"
"1506","60","1","1","1","1"
"1508","60","1","1","1","1"
