"Time","0Interest","1Cliche","2Dumb","3Wtf","4Funny"
"714","80","1","1","1","1"
"716","80","1","1","1","1"
"718","80","1","1","1","1"
"720","80","1","1","1","1"
"722","80","1","1","1","1"
"724","80","1","1","1","1"
"726","80","1","1","1","1"
"728","80","1","1","1","1"
"730","80","1","1","1","1"
"732","80","1","1","1","1"
"734","80","1","1","1","1"
"736","80","1","1","1","1"
"738","80","1","1","1","1"
"740","80","1","1","1","1"
"742","80","1","1","1","1"
"744","80","1","1","1","1"
"746","80","1","1","1","1"
"748","80","1","1","1","1"
"750","80","1","1","1","1"
"752","80","1","1","1","1"
"754","80","1","1","1","1"
"756","80","1","1","1","1"
"758","80","1","1","1","1"
"760","80","1","1","1","1"
"762","80","1","1","1","1"
"764","80","1","1","1","1"
"766","80","1","1","1","1"
"768","80","1","1","1","1"
"770","80","1","1","1","1"
"772","80","1","1","1","1"
"774","80","1","1","1","1"
"776","80","1","1","1","1"
"778","80","1","1","1","1"
"780","80","1","1","1","1"
"782","80","1","1","1","1"
"784","80","1","1","1","1"
"786","80","1","1","1","1"
"788","80","1","1","1","1"
"790","80","1","1","1","1"
"792","80","1","1","1","1"
"794","80","1","1","1","1"
"796","80","1","1","1","1"
"798","80","1","1","1","1"
"800","80","1","1","1","1"
"802","80","1","1","1","1"
"804","80","1","1","1","1"
"806","80","1","1","1","1"
"808","80","1","1","1","1"
"810","80","1","1","1","1"
"812","80","1","1","1","1"
"814","80","1","1","1","1"
"816","80","1","1","1","1"
"818","80","1","1","1","1"
"820","80","1","1","1","1"
"822","80","1","1","1","1"
"824","80","1","1","1","1"
"826","80","1","1","1","1"
"828","80","1","1","1","1"
"830","82","1","1","1","1"
"832","82","1","1","1","1"
"834","82","1","1","1","1"
"836","82","1","1","1","1"
"838","82","1","1","1","1"
"840","82","1","1","1","1"
"842","82","1","1","1","1"
"844","82","1","1","1","1"
"846","82","1","1","1","1"
"848","82","1","1","1","1"
"850","82","1","1","1","1"
"852","82","1","1","1","1"
"854","82","1","1","1","1"
"856","82","1","1","1","1"
"858","82","1","1","1","1"
"860","82","1","1","1","1"
"862","82","1","1","1","1"
"864","82","1","1","1","1"
"866","82","1","1","1","1"
"868","82","1","1","1","1"
"870","82","1","1","1","1"
"872","82","1","1","1","1"
"874","82","1","1","1","1"
"876","82","1","1","1","1"
"878","82","1","1","1","1"
"880","82","1","1","1","1"
"882","82","1","1","1","1"
"884","82","1","1","1","1"
"886","82","1","1","1","1"
"888","82","1","1","1","1"
"890","82","1","1","1","1"
"892","82","1","1","1","1"
"894","82","1","1","1","1"
"896","82","1","1","1","1"
"898","82","1","1","1","1"
"900","82","1","1","1","1"
"902","82","1","1","1","1"
"904","82","1","1","1","1"
"906","82","1","1","1","1"
"908","82","1","1","1","1"
"910","82","1","1","1","1"
"912","82","1","1","1","1"
"914","82","1","1","1","1"
"916","82","1","1","1","1"
"918","86","1","1","1","1"
"920","86","1","1","1","1"
"922","86","1","1","1","1"
"924","86","1","1","1","1"
"926","86","1","1","1","1"
"928","86","1","1","1","1"
"930","86","1","1","1","1"
"932","86","1","1","1","1"
"934","86","1","1","1","1"
"936","86","1","1","1","1"
"938","86","1","1","1","1"
"940","86","1","1","1","1"
"942","86","1","1","1","1"
"944","86","1","1","1","1"
"946","86","1","1","1","1"
"948","86","1","1","1","1"
"950","86","1","1","1","1"
"952","86","1","1","1","1"
"954","86","1","1","1","1"
"956","86","1","1","1","1"
"958","86","1","1","1","1"
"960","86","1","1","1","1"
"962","86","1","1","1","1"
"964","86","1","1","1","1"
"966","86","1","1","1","1"
"968","86","1","1","1","1"
"970","86","1","1","1","1"
"972","86","1","1","1","1"
"974","86","1","1","1","1"
"976","86","1","1","1","1"
"978","86","1","1","1","1"
"980","86","1","1","1","1"
"982","86","1","1","1","1"
"984","86","1","1","1","1"
"986","86","1","1","1","1"
"988","86","1","1","1","1"
"990","86","1","1","1","1"
"992","86","1","1","1","1"
"994","86","1","1","1","1"
"996","86","1","1","1","1"
"998","86","1","1","1","1"
"1000","86","1","1","1","1"
"1002","86","1","1","1","1"
"1004","86","1","1","1","1"
"1006","86","1","1","1","1"
"1008","86","1","1","1","1"
"1010","86","1","1","1","1"
"1012","86","1","1","1","1"
"1014","86","1","1","1","1"
"1016","86","1","1","1","1"
"1018","86","1","1","1","1"
"1020","86","1","1","1","1"
"1022","86","1","1","1","1"
"1024","86","1","1","1","1"
"1026","86","1","1","1","1"
"1028","86","1","1","1","1"
"1030","86","1","1","1","1"
"1032","86","1","1","1","1"
"1034","86","1","1","1","1"
"1036","86","1","1","1","1"
"1038","86","1","1","1","1"
"1040","86","1","1","1","1"
"1042","86","1","1","1","1"
"1044","86","1","1","1","1"
"1046","86","1","1","1","1"
"1048","86","1","1","1","1"
"1050","86","1","1","1","1"
"1052","86","1","1","1","1"
"1054","86","1","1","1","1"
"1056","86","1","1","1","1"
"1058","86","1","1","1","1"
"1060","86","1","1","1","1"
"1062","86","1","1","1","1"
"1064","86","1","1","1","1"
"1066","86","1","1","1","1"
"1068","86","1","1","1","1"
"1070","86","1","1","1","1"
"1072","86","1","1","1","1"
"1074","86","1","1","1","1"
"1076","86","1","1","1","1"
"1078","86","1","1","1","1"
"1080","86","1","1","1","1"
"1082","86","1","1","1","1"
"1084","86","1","1","1","1"
"1086","86","1","1","1","1"
"1088","86","1","1","1","1"
"1090","86","1","1","1","1"
"1092","86","1","1","1","1"
"1094","86","1","1","1","1"
"1096","86","1","1","1","1"
"1098","86","1","1","1","1"
"1100","86","1","1","1","1"
"1102","86","1","1","1","1"
"1104","86","1","1","1","1"
"1106","86","1","1","1","1"
"1108","86","1","1","1","1"
"1110","86","1","1","1","1"
"1112","86","1","1","1","1"
"1114","86","1","1","1","1"
"1116","86","1","1","1","1"
"1118","86","1","1","1","1"
"1120","86","1","1","1","1"
"1122","86","1","1","1","1"
"1124","86","1","1","1","1"
"1126","86","1","1","1","1"
"1128","86","1","1","1","1"
"1130","86","1","1","1","1"
"1132","86","1","1","1","1"
"1134","86","1","1","1","1"
"1136","86","1","1","1","1"
"1138","86","1","1","1","1"
"1140","86","1","1","1","1"
"1142","80","1","1","1","1"
"1144","72","1","1","1","1"
"1146","72","1","1","1","1"
"1148","72","1","1","1","1"
"1150","72","1","1","1","1"
"1152","72","1","1","1","1"
"1154","72","1","1","1","1"
"1156","72","1","1","1","1"
