"Time","0Interest","1Cliche","2Dumb","3Wtf","4Funny"
"1100","64","1","1","1","1"
"1102","64","1","1","1","1"
"1104","64","1","1","1","1"
"1106","64","1","1","1","1"
"1108","64","1","1","1","1"
"1110","64","1","1","1","1"
"1112","64","1","1","1","1"
"1114","64","1","1","1","1"
"1116","64","1","1","1","1"
"1118","64","1","1","1","1"
"1120","64","1","1","1","1"
"1122","64","1","1","1","1"
"1124","64","1","1","1","1"
"1126","64","1","1","1","1"
"1128","64","1","1","1","1"
"1130","64","1","1","1","1"
"1132","64","1","1","1","1"
"1134","64","1","1","1","1"
"1136","64","1","1","1","1"
"1138","64","1","1","1","1"
"1140","64","1","1","1","1"
"1142","64","1","1","1","1"
"1144","64","1","1","1","1"
"1146","64","1","1","1","1"
"1148","64","1","1","1","1"
"1150","64","1","1","1","1"
"1152","54","1","1","1","1"
"1154","54","1","1","1","1"
"1156","54","1","1","1","1"
"1158","54","1","1","1","1"
"1160","54","1","1","1","1"
"1162","54","1","1","1","1"
"1164","54","1","1","1","1"
"1166","54","1","1","1","1"
"1168","54","1","1","1","1"
"1170","54","1","1","1","1"
"1172","54","1","1","1","1"
"1174","54","1","1","1","1"
"1176","54","1","1","1","1"
"1178","54","1","1","1","1"
"1180","54","1","1","1","1"
"1182","54","1","1","1","1"
"1184","54","1","1","1","1"
"1186","54","1","1","1","1"
"1188","54","1","1","1","1"
"1190","54","1","1","1","1"
"1192","54","1","1","1","1"
"1194","54","1","1","1","1"
"1196","54","1","1","1","1"
"1198","54","1","1","1","1"
"1200","54","1","1","1","1"
"1202","54","1","1","1","1"
"1204","54","1","1","1","1"
"1206","54","1","1","1","1"
"1208","54","1","1","1","1"
"1210","54","1","1","1","1"
"1212","54","1","1","1","1"
"1214","54","1","1","1","1"
"1216","54","1","1","1","1"
"1218","54","1","1","1","1"
"1220","54","1","1","1","1"
"1222","54","1","1","1","1"
"1224","54","1","1","1","1"
"1226","54","1","1","1","1"
"1228","54","1","1","1","1"
"1230","54","1","1","1","1"
"1232","56","1","1","1","1"
"1234","56","1","1","1","1"
"1236","56","1","1","1","1"
