"Time","0Interest","1Cliche","2Funny","3Dumb","4Wtf"
"742","52","0","0","0","0"
"744","52","0","0","0","0"
"746","52","0","0","0","0"
"748","52","0","0","0","0"
"750","52","0","0","0","0"
"752","52","0","0","0","0"
"754","52","0","0","0","0"
"756","52","0","0","0","0"
"758","52","0","0","0","0"
"760","52","0","0","0","0"
"762","52","0","0","0","0"
"764","52","0","0","0","0"
"766","52","0","0","0","0"
"768","52","0","0","0","0"
"770","52","0","0","0","0"
"772","52","0","0","0","0"
"774","52","0","0","0","0"
"776","52","0","0","0","0"
"778","52","0","0","0","0"
"780","52","0","0","0","0"
"782","52","0","0","0","0"
"784","52","0","0","0","0"
"786","52","0","0","0","0"
"788","52","0","0","0","0"
"790","52","0","0","0","0"
"792","52","0","0","0","0"
"794","52","0","0","0","0"
"796","52","0","0","0","0"
"798","52","0","0","0","0"
"800","52","0","0","0","0"
"802","52","0","0","0","0"
"804","52","0","0","0","0"
"806","52","0","0","0","0"
"808","52","0","0","0","0"
"810","52","0","0","0","8"
"812","52","0","0","0","8"
"814","52","0","0","0","8"
"816","52","0","0","0","10"
"818","52","0","0","0","0"
"820","52","0","0","0","0"
"822","52","0","0","0","0"
"824","52","0","0","0","0"
"826","52","0","0","0","0"
"828","52","0","0","0","0"
"830","52","0","0","0","0"
"832","52","0","0","0","0"
"834","52","0","0","0","0"
"836","52","0","0","0","0"
"838","52","0","0","0","0"
"840","52","0","0","0","0"
"842","52","0","0","0","0"
"844","52","0","0","0","0"
"846","52","0","0","0","0"
"848","52","0","0","0","0"
"850","52","0","0","0","0"
"852","52","0","0","0","0"
"854","52","0","0","0","0"
"856","52","0","0","0","0"
"858","52","0","0","0","0"
"860","52","0","0","0","0"
"862","52","0","0","0","0"
"864","52","0","0","0","0"
"866","52","0","0","0","0"
"868","52","0","0","0","0"
"870","52","0","0","0","0"
"872","52","0","0","0","0"
"874","52","0","0","0","0"
"876","52","0","0","0","0"
"878","52","0","0","0","0"
"880","52","0","0","0","0"
"882","52","0","0","0","0"
"884","52","0","0","0","0"
"886","52","0","0","0","0"
"888","52","0","0","0","0"
"890","52","0","0","0","0"
"892","52","0","0","0","0"
"894","52","0","0","0","0"
"896","52","0","0","0","0"
"898","52","0","0","0","0"
"900","52","0","0","0","0"
"902","52","0","0","0","0"
"904","52","0","0","0","0"
"906","52","0","0","0","0"
"908","52","0","0","0","0"
"910","52","0","0","0","0"
"912","52","0","0","0","0"
"914","52","0","0","0","0"
"916","52","0","0","0","0"
"918","52","0","0","0","0"
"920","52","0","0","0","0"
"922","52","0","0","0","0"
"924","52","0","0","0","0"
"926","52","0","0","0","0"
"928","52","0","0","0","0"
"930","52","0","0","0","0"
"932","52","0","0","0","0"
"934","52","0","0","0","0"
"936","52","0","0","0","0"
"938","52","0","0","0","0"
"940","52","0","0","0","0"
"942","52","0","0","0","0"
"944","52","0","0","0","0"
"946","52","0","0","0","0"
"948","52","0","0","0","0"
"950","52","0","0","0","0"
"952","52","0","0","0","0"
"954","52","0","0","0","0"
"956","52","0","0","0","0"
"958","52","0","0","0","0"
"960","52","0","0","0","0"
"962","52","0","0","0","0"
"964","52","0","0","0","0"
"966","52","0","0","0","0"
"968","52","0","0","0","0"
"970","52","0","0","0","0"
"972","52","0","0","0","0"
"974","52","0","0","0","0"
"976","52","0","0","0","0"
"978","52","0","0","0","0"
"980","52","0","0","0","0"
"982","52","0","0","0","0"
"984","52","0","0","0","0"
"986","52","0","0","0","0"
"988","52","0","0","0","0"
"990","52","0","0","0","0"
"992","52","0","0","0","0"
"994","52","0","0","0","0"
"996","48","0","0","0","0"
"998","46","0","0","0","0"
"1000","46","0","0","0","0"
"1002","46","0","0","0","0"
"1004","46","0","0","0","0"
"1006","46","0","0","0","0"
"1008","46","0","0","0","0"
"1010","46","0","0","0","0"
"1012","46","0","0","0","0"
"1014","46","0","0","0","0"
"1016","46","0","0","0","0"
"1018","46","0","0","0","0"
"1020","46","0","0","0","0"
"1022","46","0","0","0","0"
"1024","46","0","0","0","0"
"1026","46","0","0","0","0"
"1028","46","0","0","0","0"
"1030","46","6","0","0","0"
"1032","46","8","0","0","0"
"1034","46","6","0","0","0"
"1036","46","4","0","0","0"
"1038","46","4","0","0","0"
"1040","46","4","0","0","0"
"1042","46","4","0","0","0"
"1044","46","4","0","0","0"
"1046","46","4","0","0","0"
"1048","46","4","0","0","0"
"1050","46","4","0","0","0"
"1052","52","0","0","0","0"
"1054","56","0","0","0","0"
"1056","56","0","0","0","0"
"1058","56","0","0","0","0"
"1060","56","0","0","0","0"
"1062","56","0","0","0","0"
"1064","56","0","0","0","0"
"1066","56","0","0","0","0"
"1068","56","0","0","0","0"
"1070","56","0","0","0","0"
"1072","56","0","0","0","0"
"1074","56","0","0","0","0"
"1076","62","0","0","0","0"
"1078","62","0","0","0","0"
"1080","62","0","0","0","0"
"1082","62","0","0","0","0"
"1084","62","0","0","0","0"
"1086","62","0","0","0","0"
"1088","62","0","0","0","0"
"1090","62","0","0","0","0"
"1092","62","0","0","0","0"
"1094","62","0","0","0","0"
"1096","62","0","0","0","0"
"1098","62","0","0","0","0"
"1100","62","0","0","0","0"
"1102","62","0","0","0","0"
"1104","62","0","0","0","0"
"1106","62","0","0","0","0"
"1108","62","0","0","0","0"
"1110","62","0","0","0","0"
"1112","62","0","0","0","0"
"1114","62","0","0","0","0"
"1116","62","0","0","0","0"
"1118","62","0","0","0","0"
